"","FID_bog","Geo_group","PLANT_COMM","SOURCE","AREA","PERIMETER","HECTARES","ALPINE_EVC","SHRUBBY","AreaBurnt_0","AreaBurnt_3","AreaBurnt_4","AreaBurnt_2","AreaBurnt_1","AreaBurnt_5","AreaMultiBurnt","PropMultiBurnt","MultiBurntBinary","TimesBurnt","Mean_elevation","Mean_slope","Exposure (5 = Lower; 6 = Higher)","Mean_annual_min_temp","Mean_annual_max_temp","Mean_annual_rainfall","Shape_Area","Aspect","ASPN","Exposure","PA_Ratio","PropTree","PropTreeBuffer","rain.anom.2019"
"1","0","Baw Baw","Treeless Sub-alpine Vegetation","Tolsma edits",47558.264927387,1595.21754083719,4.7558264927387,"Treeless Sub-alpine Vegetation","tall",47558.2699177345,0,0,0,0,0,0,0,0,0,1050,3,5,5,14,1375,3534.37556995747,314,46,"5",0.0335423830804762,1,0.999981941833672,16.806640625
"2","1","Baw Baw","Treeless Sub-alpine Vegetation","Tolsma edits",40311.8285781,1510.21983849105,4.03118285781,"Treeless Sub-alpine Vegetation","tall",40311.834994771,0,0,0,0,0,0,0,0,0,1036,14,5,5,14,1389.5,913.333355879768,224,136,"5",0.0374634416686198,1,0.999984100689293,17.0956077575684
"3","2","Baw Baw","Wet sub-alpine heathland - flats","Baw Baw (Roberts - Frog)",11453.235340426,658.59384790684,1.1453235340426,"Alpine Peatland","moderate",11453.2372070225,0,0,0,0,0,0,0,0,0,1334,6,5,4,13,1367,1857.73625989227,0,0,"5",0.0575028652019599,1,0.99999411241706,16.806640625
"4","3","Baw Baw","Wet sub-alpine heathland - slopes","Baw Baw (Roberts - Frog)",8921.400293887,438.85435433539,0.8921400293887,"Wet Alpine Heathland","tall",8921.39915312893,0,0,0,0,0,0,0,0,0,1302,11,5,4,13,1367,533.25012388404,44,44,"5",0.0491911964353954,1,0.99999497030789,16.806640625
"5","4","Baw Baw","Wet sub-alpine heathland - flats","Baw Baw (Roberts - Frog)",3334.827449456,268.57715464277,0.3334827449456,"Alpine Peatland","moderate",3334.82908109281,0,0,0,0,0,0,0,0,0,1273,8,5,4,13,1367,272.156712039593,283,77,"5",0.0805370468827651,1,0.999997894563365,16.806640625
"6","5","Baw Baw","Wet sub-alpine heathland - flats","Baw Baw (Roberts - Frog)",12756.397681504,845.87629844424,1.2756397681504,"Alpine Peatland","moderate",12756.3968130022,0,0,0,0,0,0,0,0,0,1321,9,5,4,13,1367,1022.75161069545,359,1,"5",0.0663099661490414,1,0.999993762228863,16.806640625
"7","6","Baw Baw","Wet sub-alpine heathland - slopes","Baw Baw (Roberts - Frog)",15292.026561484,1094.4820086319,1.5292026561484,"Wet Alpine Heathland","tall",15292.0247980229,0,0,0,0,0,0,0,0,0,1269,9,5,4,13,1367,421.752623533516,224,136,"5",0.071572070858716,1,0.999992933045551,16.806640625
"8","7","Baw Baw","Wet sub-alpine heathland - flats","Baw Baw (Roberts - Frog)",9049.434881856,458.19681303108,0.9049434881856,"Alpine Peatland","moderate",9049.43369687622,0,0,0,0,0,0,0,0,0,1341,7,5,4,13,1367,310.080424006402,0,0,"5",0.0506326438073784,1,0.999994752108538,16.806640625
"9","8","Baw Baw","Wet sub-alpine heathland - flats","Baw Baw (Roberts - Frog)",57316.054329991,2353.93030674338,5.7316054329991,"Alpine Peatland","moderate",57316.052302466,0,0,0,0,0,0,0,0,0,1315,7,5,4,13,1367,1947.76019068123,0,0,"5",0.0410693013372986,1,0.999979273213365,16.806640625
"10","9","Baw Baw","Wet sub-alpine heathland - flats","Baw Baw (Roberts - Frog)",13374.206152771,766.12725363162,1.3374206152771,"Alpine Peatland","moderate",13374.204847106,0,0,0,0,0,0,0,0,0,1286,6,5,4,13,1367,1227.48722794314,314,46,"5",0.057283942305083,1,0.999993371997199,16.806640625
"11","10","Baw Baw","Wet sub-alpine heathland - slopes","Baw Baw (Roberts - Frog)",3140.188616976,323.77582261726,0.3140188616976,"Wet Alpine Heathland","tall",3140.18820015399,0,0,0,0,0,0,0,0,0,1366,7,5,4,13,1367,220.592538196152,359,1,"5",0.103107125752547,1,0.999998129743038,16.806640625
"12","11","Baw Baw","Wet sub-alpine heathland - slopes","Baw Baw (Roberts - Frog)",5164.560845852,371.65593884541,0.5164560845852,"Wet Alpine Heathland","tall",5164.56074592049,0,0,0,0,0,0,0,0,0,1343,7,5,4,13,1367,487.946218471209,269,91,"5",0.0719627379632697,1,0.999996950809562,16.806640625
"13","12","Baw Baw","Wet sub-alpine heathland - flats","Baw Baw (Roberts - Frog)",3876.293591946,293.73861059917,0.3876293591946,"Alpine Peatland","moderate",3876.29450622713,0,0,0,0,0,0,0,0,0,1332,7,5,4,13,1367,342.242200144813,359,1,"5",0.0757782153574455,1,0.999997630288829,16.806640625
